id,name,tag,peak_pos,group,shape_parm1,shape_parm2,shape_parm3,lowerbound,upperbound,is_bkg_fix,bkg_slope,sig_to_bkg_ratio
0,Ru105,0,9565.13711328092,0,7.73,0.571,0.828,9365.13711328092,9665.13711328092,1,0.00001,0.0000001
1,Tc105,0,9847.87001789392,0,7.73,0.571,0.828,9647.87001789392,9947.87001789392,1,0.00001,0.0000001
2,Mo105,0,10212.4612548739,0,7.73,0.571,0.828,10012.4612548739,10312.4612548739,1,0.00001,0.0000001
3,Nb105,0,10770.0316665156,0,7.73,0.571,0.828,10570.0316665156,10870.0316665156,1,0.00001,0.0000001
4,Zr105,0,11406.938032883,0,7.73,0.571,0.828,11206.938032883,11506.938032883,1,0.00001,0.0000001
5,contam,0,11632.0553761819,0,7.73,0.571,0.828,11432.0553761819,11732.0553761819,1,0.00001,0.0000001
6,Ru103,0,14054.8502381868,1,7.73,0.571,0.828,13854.8502381868,14154.8502381868,1,0.00001,0.0000001
7,Tc103,0,14256.8727466662,1,7.73,0.571,0.828,14056.8727466662,14356.8727466662,1,0.00001,0.0000001
8,Mo103,0,14534.9216952142,1,7.73,0.571,0.828,14334.9216952142,14634.9216952142,1,0.00001,0.0000001
9,Nb103,0,14989.2116780103,1,7.73,0.571,0.828,14789.2116780103,15089.2116780103,1,0.00001,0.0000001
10,Zr103,0,15542.9656611672,1,7.73,0.571,0.828,15342.9656611672,15642.9656611672,1,0.00001,0.0000001
11,Y103,0,15812.1981131689,1,7.73,0.571,0.828,15612.1981131689,15912.1981131689,1,0.00001,0.0000001
